N,replicate,jobs,oracle_cost,tpr_cost,gap_per_household,zero_zone_fraction,coordinator_margin_min,min_household_saving,runtime_seconds
50,8,87,-990.0065359108593,-990.0065359108592,2.2737367544323206e-15,0.0,-5.329070518200751e-15,0.0,0.014788423664867878
50,9,84,-988.8310157185907,-988.8310157185908,0.0,0.0,-5.329070518200751e-15,0.0,0.014413506723940372
50,10,98,-922.4412902564552,-922.4412902564553,0.0,0.0,-5.329070518200751e-15,0.0,0.016094151884317398
50,11,96,-926.2739575991959,-926.2739575991961,0.0,0.0,-7.105427357601002e-15,0.0,0.01589643396437168
50,12,86,-1005.9280449496466,-1005.9280449496466,0.0,0.0,-5.329070518200751e-15,0.0,0.014623935334384441
50,13,98,-884.3626316026506,-884.3626316026506,0.0,0.0,-3.552713678800501e-15,0.0,0.01622081082314253
50,14,86,-1028.1522179494148,-1028.1522179494145,4.547473508864641e-15,0.0,-5.329070518200751e-15,0.0,0.014972403645515442
50,15,76,-1017.4147755289673,-1017.4147755289673,0.0,0.0,-5.329070518200751e-15,0.0,0.013810503296554089
75,0,138,-1426.2640835628183,-1426.264083562818,3.031649005909761e-15,0.0,-7.105427357601002e-15,0.0,0.021382633596658707
75,1,140,-1378.3678306188974,-1378.3678306188976,0.0,0.0,-1.0658141036401503e-14,0.0,0.021418512798845768
75,2,140,-1417.6622314859007,-1417.6622314859003,6.063298011819522e-15,0.0,-7.105427357601002e-15,0.0,0.021352674812078476
75,3,137,-1422.3204608008684,-1422.3204608008682,3.031649005909761e-15,0.0,-7.105427357601002e-15,0.0,0.020658209919929504
75,4,139,-1445.7357710635515,-1445.735771063552,0.0,0.0,-7.105427357601002e-15,0.0,0.020721719600260258
75,5,137,-1394.3121049212737,-1394.312104921273,9.094947017729283e-15,0.0,-7.105427357601002e-15,0.0,0.020970706827938557
75,6,132,-1446.2775072176485,-1446.2775072176487,0.0,0.0,-1.0658141036401503e-14,0.0,0.020437532104551792
